"","RouteIdentifier","survey_year","CollectorNumber","nstop","latitude","longitude","StateProvince","bcr"
"1","NB054",2017,1030073,10,45.635021,-65.799431,"NB",14
"2","NB002",2017,1068489,9,45.428169,-67.25354,"NB",14
"3","NB041",2017,1030056,9,47.581829,-65.983437,"NB",14
"4","NB017",2017,1030056,10,47.50716,-66.730118,"NB",14
"5","NB039",2017,1032147,10,47.392651,-66.396172,"NB",14
"6","NB073",2017,1030070,10,47.140171,-66.10675,"NB",14
"7","NB046",2017,1030405,10,47.003391,-65.729599,"NB",14
"8","NB009",2017,1030122,10,47.131859,-67.702629,"NB",14
"9","NB094",2017,1030122,10,47.494469,-68.010223,"NB",14
"10","NB096",2017,1030122,10,47.223049,-67.615608,"NB",14
"11","NB083",2017,1030122,10,47.32552,-67.696198,"NB",14
"12","NB031",2017,1051830,9,45.433811,-66.235718,"NB",14
"13","NB052",2017,1030370,10,45.643917,-65.220749,"NB",14
"14","NB030",2017,1051830,9,45.502789,-66.049187,"NB",14
"15","NB029",2017,1074875,10,44.795071,-66.784279,"NB",14
"16","NB038",2017,1030372,10,47.00177,-66.272743,"NB",14
"17","NB053",2017,1030085,10,45.627781,-65.745689,"NB",14
"18","NB060",2017,1077609,9,46.246399,-64.928947,"NB",14
"19","NB023",2017,1030368,10,46.197189,-66.927391,"NB",14
"20","NB080",2017,1051847,10,45.77499,-66.089348,"NB",14
"21","NB085",2016,1077263,10,47.677151,-65.395126,"NB",14
"22","NB113",2017,1051849,10,45.590519,-65.448608,"NB",14
"23","NB113",2016,1051849,10,45.590519,-65.448608,"NB",14
"24","NB061",2016,1030081,10,46.124191,-64.967979,"NB",14
"25","NB001",2017,1054918,10,45.449188,-67.441971,"NB",14
"26","NB003",2017,1074890,8,45.76347,-67.470863,"NB",14
"27","NB043",2017,1051811,10,47.945751,-66.409889,"NB",14
"28","NB102",2017,1051811,10,47.62822,-66.41906,"NB",14
"29","NB101",2017,1051811,10,47.566559,-66.788422,"NB",14
"30","NB110",2017,1051827,9,45.250099,-67.157402,"NB",14
"31","NB028",2017,1051827,9,45.17017,-66.920609,"NB",14
"32","NB033",2017,1030374,10,45.94017,-66.153267,"NB",14
"33","NB070",2017,1051844,9,46.170448,-64.42466,"NB",14
"34","NB006",2017,1074874,10,46.258041,-67.262787,"NB",14
"35","NB079",2017,1051810,10,46.315281,-67.599113,"NB",14
"36","NB036",2017,1051832,10,46.868752,-66.026222,"NB",14
"37","NB063",2017,1074880,9,46.535622,-64.734291,"NB",14
"38","NB056",2017,1077272,10,45.268333,-65.73333,"NB",14
"39","NB062",2017,1030030,10,46.18676,-64.690002,"NB",14
"40","NB076",2017,1079011,10,46.018532,-65.710899,"NB",14
"41","NB081",2017,1079009,10,45.788891,-65.496498,"NB",14
"42","NB084",2017,1074880,9,46.642231,-64.957657,"NB",14
"43","NB045",2017,1051811,9,47.412739,-65.879181,"NB",14
"44","NB069",2017,1030041,10,45.99474,-64.298698,"NB",14
"45","NB068",2017,1051843,10,45.764889,-64.489998,"NB",14
"46","NB009",2018,1030122,10,47.131859,-67.702629,"NB",14
"47","NB075",2018,1079011,10,46.36808,-65.497643,"NB",14
"48","NB008",2018,1074874,10,46.51086,-67.346329,"NB",14
"49","NB070",2018,1051844,10,46.170448,-64.42466,"NB",14
"50","NB054",2018,1030073,10,45.635021,-65.799431,"NB",14
"51","NB037",2018,1030372,10,46.82272,-66.113564,"NB",14
"52","NB073",2018,1030070,10,47.140171,-66.10675,"NB",14
"53","NB069",2018,1030051,10,45.99474,-64.298698,"NB",14
"54","NB041",2018,1030056,10,47.581829,-65.983437,"NB",14
"55","NB039",2018,1032147,10,47.392651,-66.396172,"NB",14
"56","NB036",2018,1051832,10,46.868752,-66.026222,"NB",14
"57","NB080",2018,1051847,10,45.77499,-66.089348,"NB",14
"58","NB023",2018,1030368,10,46.197189,-66.927391,"NB",14
"59","NB028",2018,1051827,7,45.17017,-66.920609,"NB",14
"60","NB056",2018,1046609,10,45.268333,-65.73333,"NB",14
"61","NB063",2018,1074880,10,46.535622,-64.734291,"NB",14
"62","NB046",2018,1030405,10,47.003391,-65.729599,"NB",14
"63","NB094",2018,1030122,10,47.494469,-68.010223,"NB",14
"64","NB096",2018,1030122,10,47.223049,-67.615608,"NB",14
"65","NB104",2017,1044071,10,46.13641,-66.297539,"NB",14
"66","NB038",2018,1030372,10,47.00177,-66.272743,"NB",14
"67","NS015",2018,1048652,6,45.63282,-63.057991,"NS",14
"68","NB001",2018,1054918,10,45.449188,-67.441971,"NB",14
"69","NB025",2018,1030464,10,45.653751,-66.74337,"NB",14
"70","NB085",2018,1077263,10,47.677151,-65.395126,"NB",14
"71","NB101",2018,1051811,10,47.566559,-66.788422,"NB",14
"72","NB043",2018,1077268,10,47.945751,-66.409889,"NB",14
"73","NB102",2018,1051811,10,47.62822,-66.41906,"NB",14
"74","NB081",2018,1079009,10,45.788891,-65.496498,"NB",14
"75","NB061",2018,1030081,10,46.124191,-64.967979,"NB",14
"76","NB030",2018,1051830,10,45.502789,-66.049187,"NB",14
"77","NB031",2018,1051830,10,45.433811,-66.235718,"NB",14
"78","NB113",2018,1030060,10,45.590519,-65.448608,"NB",14
"79","NB104",2018,1044071,10,46.13641,-66.297539,"NB",14
"80","NB057",2017,1030089,10,45.534111,-65.517372,"NB",14
"81","NB053",2018,1030085,10,45.627781,-65.745689,"NB",14
"82","NB083",2018,1030122,10,47.32552,-67.696198,"NB",14
"83","NB026",2018,1079129,3,45.750542,-66.915161,"NB",14
"84","NB033",2018,1081240,10,45.94017,-66.153267,"NB",14
"85","NB006",2019,1078366,10,46.258041,-67.262787,"NB",14
"86","NB070",2019,1043244,10,46.170448,-64.42466,"NB",14
"87","NB017",2019,1030056,10,47.50716,-66.730118,"NB",14
"88","NB041",2019,1030056,10,47.581829,-65.983437,"NB",14
"89","NB054",2019,1081148,10,45.786369,-65.884422,"NB",14
"90","NB060",2019,1081183,10,46.246399,-64.928947,"NB",14
"91","NB026",2019,1079129,10,45.750542,-66.915161,"NB",14
"92","NB052",2019,1030370,9,45.643917,-65.220749,"NB",14
"93","NB013",2019,1081262,10,47.586948,-68.234589,"NB",14
