abund,year,grid_id
0.234324729,2001,49
0.279497657,2001,60
0.312272849,2001,50
0.32280157,2001,51
0.324162286,2001,39
0.328916181,2001,44
0.330232853,2001,36
0.344575497,2001,79
0.348928582,2001,43
0.353707719,2001,59
0.354336932,2001,57
0.358739552,2001,31
0.368805657,2001,35
0.374738908,2001,46
0.383912834,2001,34
0.38814961,2001,18
0.394396198,2001,98
0.394994636,2001,23
0.3967268,2001,56
0.399092814,2001,24
0.39978946,2001,19
0.400264671,2001,68
0.405286713,2001,27
0.406541201,2001,26
0.410507827,2001,72
0.414658673,2001,143
0.421389225,2001,58
0.421491192,2001,25
0.42218563,2001,66
0.423916484,2001,29
0.42402509,2001,85
0.427240202,2001,77
0.437634857,2001,17
0.439813577,2001,115
0.441126088,2001,38
0.441844272,2001,134
0.447900103,2001,101
0.451369288,2001,16
0.453079796,2001,30
0.455278606,2001,99
0.462561091,2001,130
0.463940899,2001,138
0.470400015,2001,53
0.473753417,2001,63
0.477876203,2001,139
0.484543467,2001,131
0.489139765,2001,70
0.505346457,2001,96
0.518374632,2001,91
0.518553776,2001,88
0.529427857,2001,109
0.556106174,2001,235
0.563259556,2001,241
0.584968999,2001,92
0.597313771,2001,100
0.604330055,2001,114
0.623999573,2001,12
0.632522091,2001,133
0.633044025,2001,87
0.770616421,2001,102
0.856568008,2001,137
0.238708771,2002,49
0.283155782,2002,60
0.29228116,2002,185
0.313533889,2002,50
0.325842325,2002,51
0.32729755,2002,39
0.328111078,2002,44
0.334465025,2002,36
0.343381413,2002,79
0.350634047,2002,43
0.354771685,2002,57
0.354816999,2002,59
0.359725443,2002,31
0.366834846,2002,35
0.377207972,2002,46
0.383474029,2002,34
0.386987265,2002,18
0.389705356,2002,24
0.395721382,2002,23
0.395755452,2002,98
0.397362353,2002,19
0.397621059,2002,68
0.399843077,2002,56
0.405738033,2002,27
0.410129204,2002,72
0.411958822,2002,62
0.412496387,2002,54
0.413586668,2002,143
0.419034258,2002,58
0.42204269,2002,25
0.425509544,2002,77
0.426960542,2002,85
0.43007913,2002,29
0.432397762,2002,186
0.435099136,2002,17
0.438635356,2002,115
0.439289519,2002,191
0.440473519,2002,38
0.443103637,2002,134
0.443583261,2002,16
0.448098366,2002,30
0.448646455,2002,101
0.449462799,2002,99
0.449710542,2002,32
0.455930289,2002,175
0.460704531,2002,130
0.464519368,2002,138
0.468871985,2002,53
0.471522245,2002,63
0.474842934,2002,139
0.475734844,2002,211
0.478051717,2002,131
0.487699378,2002,70
0.503865511,2002,96
0.507244122,2002,20
0.515498271,2002,88
0.517863186,2002,14
0.518446016,2002,97
0.519146159,2002,212
0.521796071,2002,193
0.527104968,2002,109
0.529395616,2002,75
0.531458136,2002,178
0.531970652,2002,202
0.556952951,2002,235
0.558448257,2002,241
0.558562116,2002,177
0.558796522,2002,165
0.56012412,2002,195
0.578052916,2002,92
0.583993315,2002,173
0.587385034,2002,114
0.58864397,2002,100
0.599721443,2002,223
0.604221946,2002,12
0.604893633,2002,200
0.622978477,2002,176
0.627550418,2002,87
0.632120947,2002,133
0.637911027,2002,205
0.650768313,2002,208
0.66443833,2002,215
0.689689822,2002,209
0.690785555,2002,230
0.694041372,2002,224
0.701195393,2002,210
0.840295147,2002,182
0.840314792,2002,137
0.871806025,2002,203
0.904267991,2002,192
0.938672314,2002,222
0.243174808,2003,49
0.288508336,2003,60
0.296196009,2003,185
0.316389868,2003,50
0.327297305,2003,61
0.328826207,2003,51
0.330741616,2003,44
0.331998941,2003,39
0.334960832,2003,36
0.345736757,2003,79
0.353618479,2003,43
0.355206968,2003,57
0.355999697,2003,59
0.360714046,2003,31
0.367758705,2003,35
0.37565135,2003,46
0.379860718,2003,28
0.385554073,2003,34
0.385810534,2003,18
0.386763148,2003,24
0.396989759,2003,19
0.397045584,2003,98
0.400979919,2003,56
0.402277519,2003,23
0.404037615,2003,26
0.404145568,2003,27
0.413144945,2003,62
0.419775542,2003,58
0.423092579,2003,66
0.427925961,2003,85
0.428286287,2003,29
0.428798466,2003,77
0.43045499,2003,17
0.434442247,2003,191
0.435563405,2003,38
0.439833742,2003,134
0.448399729,2003,32
0.448924153,2003,99
0.44950407,2003,101
0.450561589,2003,30
0.460531794,2003,16
0.462714347,2003,138
0.463055824,2003,130
0.471828928,2003,139
0.471918708,2003,211
0.472194658,2003,63
0.479190683,2003,53
0.488508,2003,70
