abund,year,grid_id
0.16813453,2001,70
0.173186236,2001,49
0.177654594,2001,114
0.179660275,2001,92
0.20075567,2001,91
0.20111261,2001,50
0.204698484,2001,71
0.209508794,2001,96
0.216803216,2001,99
0.223786175,2001,57
0.225737261,2001,98
0.226596351,2001,101
0.232853413,2001,24
0.240109952,2001,102
0.242236022,2001,36
0.249703339,2001,77
0.249749446,2001,53
0.254269703,2001,38
0.254803147,2001,16
0.255352373,2001,87
0.258754154,2001,43
0.262062383,2001,44
0.262591995,2001,109
0.266192488,2001,27
0.267246971,2001,31
0.268747634,2001,39
0.268810145,2001,79
0.269218903,2001,30
0.28088438,2001,68
0.282149301,2001,78
0.28397337,2001,35
0.29131112,2001,12
0.29367411,2001,26
0.294932469,2001,23
0.346854663,2001,59
0.354320177,2001,29
0.379592987,2001,241
0.427808697,2001,235
0.171548042,2002,70
0.176487668,2002,49
0.180839023,2002,114
0.182841146,2002,92
0.198681887,2002,69
0.20441227,2002,50
0.210356604,2002,75
0.211424294,2002,96
0.217755736,2002,173
0.219605391,2002,99
0.22477373,2002,165
0.226688292,2002,176
0.227266438,2002,57
0.228370333,2002,98
0.229372341,2002,101
0.231726349,2002,177
0.236038634,2002,24
0.24159642,2002,85
0.245752997,2002,36
0.247060302,2002,224
0.250504443,2002,53
0.251861208,2002,77
0.254918107,2002,38
0.255645105,2002,16
0.255824091,2002,178
0.257416809,2002,87
0.2588563,2002,43
0.263406126,2002,44
0.264819168,2002,109
0.26621216,2002,20
0.268006283,2002,31
0.268128274,2002,27
0.270024026,2002,79
0.270332985,2002,39
0.271161063,2002,30
0.277127568,2002,191
0.279087991,2002,185
0.281786501,2002,35
0.282157845,2002,68
0.283544246,2002,186
0.284437282,2002,193
0.290136594,2002,60
0.291203657,2002,12
0.295409094,2002,23
0.299083649,2002,182
0.310407418,2002,195
0.311112886,2002,200
0.312090377,2002,212
0.32337328,2002,192
0.342897673,2002,59
0.345007814,2002,223
0.34950174,2002,209
0.352580507,2002,29
0.373980372,2002,202
0.378507025,2002,241
0.393406043,2002,210
0.403491784,2002,205
0.411546036,2002,230
0.423362788,2002,203
0.425046437,2002,235
0.446462219,2002,215
0.495222474,2002,211
0.599285991,2002,14
0.688371633,2002,222
0.175030841,2003,70
0.179852026,2003,49
0.184080526,2003,114
0.186075054,2003,92
0.207766068,2003,50
0.21188917,2003,71
0.21350208,2003,75
0.214333467,2003,96
0.220891961,2003,173
0.222443786,2003,99
0.227815875,2003,165
0.230344594,2003,176
0.230800975,2003,57
0.232090206,2003,98
0.232171451,2003,101
0.234366962,2003,24
0.235307865,2003,177
0.2441656,2003,85
0.245981809,2003,102
0.247082632,2003,36
0.249468782,2003,224
0.25217768,2003,53
0.252362893,2003,77
0.253956307,2003,61
0.254687717,2003,16
0.256702035,2003,38
0.259497942,2003,87
0.260039425,2003,43
0.265692004,2003,44
0.267051271,2003,20
0.268224838,2003,109
0.268767753,2003,31
0.270127491,2003,27
0.27096512,2003,30
0.271056283,2003,39
0.272060692,2003,79
0.278152433,2003,191
0.278671936,2003,28
0.282349514,2003,185
0.283280265,2003,35
0.287084308,2003,193
0.288672349,2003,12
0.292009863,2003,26
0.293721825,2003,60
0.294461644,2003,18
0.296512994,2003,23
0.299541246,2003,182
0.311637455,2003,103
0.311719052,2003,195
0.313432219,2003,200
0.314563007,2003,212
0.325286941,2003,192
0.348169239,2003,59
0.350195972,2003,209
0.352452803,2003,29
0.372760918,2003,202
0.374928736,2003,234
